latitude,longitude,photo,title,datetime
37.77345,-122.41247,http://farm5.static.flickr.com/4133/4841798818_04d533b8b0_m.jpg,Up Your Alley (2 of 13),2010-07-25 13:29:26
37.808495,-122.26942,http://farm5.static.flickr.com/4073/4803332295_0f655ebe17_m.jpg,Male Lesbian Fashion statement. My outfit at Oakland Ecstatic Dance.,2010-06-30 22:25:02
37.770164,-122.445244,http://farm5.static.flickr.com/4097/4803891024_0900f895e4_m.jpg,SFpride at the radical faery house,2010-07-09 17:20:13
37.770138,-122.44327,http://farm5.static.flickr.com/4121/4803890896_63b428cde8_m.jpg,SFpride at the radical faery house,2010-07-03 20:12:53
37.768441,-122.423315,http://farm5.static.flickr.com/4135/4803259805_f6253ea7e2_m.jpg,SFpride at the radical faery house,2010-06-27 21:04:35
37.857913,-122.252511,http://farm5.static.flickr.com/4079/4803029056_9d4990b5ab_m.jpg,Geo audio tweet | nabloom bakery is bit of liberated space within the uber yuppie Berkeley neighborhood of elmwood,2010-07-17 14:20:03
37.868145,-122.256717,http://farm5.static.flickr.com/4117/4800630332_2ae9114c9d_m.jpg,"The episcopal church welcomes you",2010-07-16 17:05:19
37.779602,-122.418251,http://farm5.static.flickr.com/4081/4783621547_3515f6837f_m.jpg,World cup final from san francisco | Voice Memo from Jasper Gregory, 12:40 PM,2010-07-11 13:19:46
37.747879,-122.389258,http://farm5.static.flickr.com/4123/4782261378_7d2dd8ae8c_m.jpg,Sexy Superhero Streetfashion (56 of 56),2010-07-10 18:27:47
37.747879,-122.389258,http://farm5.static.flickr.com/4095/4781625601_4595d4d147_m.jpg,Sexy Superhero Streetfashion (55 of 56),2010-07-10 16:02:11
37.747879,-122.389258,http://farm5.static.flickr.com/4079/4781624955_f37d6e3dda_m.jpg,Sexy Superhero Streetfashion (54 of 56),2010-07-10 19:59:27
37.747879,-122.389258,http://farm5.static.flickr.com/4076/4782259538_ee05a447b0_m.jpg,Sexy Superhero Streetfashion (53 of 56),2010-07-10 19:56:34
37.747879,-122.389258,http://farm5.static.flickr.com/4081/4781623631_8709aab138_m.jpg,Sexy Superhero Streetfashion (52 of 56),2010-07-10 19:39:20
37.747879,-122.389258,http://farm5.static.flickr.com/4076/4782258094_ebc25f0e93_m.jpg,Sexy Superhero Streetfashion (51 of 56),2010-07-10 19:35:18
37.747879,-122.389258,http://farm5.static.flickr.com/4117/4782257464_8eb230a9e1_m.jpg,Sexy Superhero Streetfashion (50 of 56),2010-07-10 19:27:21
37.747879,-122.389258,http://farm5.static.flickr.com/4077/4781621575_fc2a8c8e3c_m.jpg,Sexy Superhero Streetfashion (49 of 56),2010-07-10 19:26:38
37.747879,-122.389258,http://farm5.static.flickr.com/4138/4781621011_9c5b7d8418_m.jpg,Sexy Superhero Streetfashion (48 of 56),2010-07-10 19:22:47
37.747879,-122.389258,http://farm5.static.flickr.com/4118/4782255648_105b84dff5_m.jpg,Sexy Superhero Streetfashion (47 of 56),2010-07-10 19:18:19
37.747879,-122.389258,http://farm5.static.flickr.com/4081/4782254934_4855e1a38a_m.jpg,Sexy Superhero Streetfashion (46 of 56),2010-07-10 19:16:35
37.747879,-122.389258,http://farm5.static.flickr.com/4119/4781618947_eb052c4c6c_m.jpg,Sexy Superhero Streetfashion (45 of 56),2010-07-10 19:13:37
37.747879,-122.389258,http://farm5.static.flickr.com/4099/4782253720_103d3b696b_m.jpg,Sexy Superhero Streetfashion (44 of 56),2010-07-10 19:11:40
37.747879,-122.389258,http://farm5.static.flickr.com/4120/4782253100_911249629e_m.jpg,Sexy Superhero Streetfashion (43 of 56),2010-07-10 19:10:10
37.747879,-122.389258,http://farm5.static.flickr.com/4101/4782252430_57e0c1d9de_m.jpg,Sexy Superhero Streetfashion (42 of 56),2010-07-10 19:01:50
37.747879,-122.389258,http://farm5.static.flickr.com/4115/4781616209_2aa77848a0_m.jpg,Sexy Superhero Streetfashion (41 of 56),2010-07-10 18:40:47
37.747879,-122.389258,http://farm5.static.flickr.com/4082/4782251058_40ce4acfb1_m.jpg,Sexy Superhero Streetfashion (40 of 56),2010-07-10 18:37:25
37.747879,-122.389258,http://farm5.static.flickr.com/4074/4782250280_25b81caa1d_m.jpg,Sexy Superhero Streetfashion (39 of 56),2010-07-10 18:34:43
37.747879,-122.389258,http://farm5.static.flickr.com/4100/4782249658_6c790d372e_m.jpg,Sexy Superhero Streetfashion (38 of 56),2010-07-10 18:30:02
37.747879,-122.389258,http://farm5.static.flickr.com/4122/4781613465_3318f60248_m.jpg,Sexy Superhero Streetfashion (37 of 56),2010-07-10 18:20:50
37.747879,-122.389258,http://farm5.static.flickr.com/4078/4782247970_6828d245a0_m.jpg,Sexy Superhero Streetfashion (36 of 56),2010-07-10 18:16:25
37.747879,-122.389258,http://farm5.static.flickr.com/4119/4781611829_0332055c92_m.jpg,Sexy Superhero Streetfashion (35 of 56),2010-07-10 18:14:51
